Term_PK	Term_Name	Identifier	Is_Leaf	Definition	Comment	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
"MS:1000004MS1"	"sample mass"	"MS:1000004"	"1"	"Total mass of sample used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000004MS1"	"sample mass"	"MS:1000004"	"1"	"Total mass of sample used."	\N	"HasUnits"	"gram"	"UO:0000021"	"IsA"	"UO:0000002"	"UO:0000002"
"MS:1000005MS1"	"sample volume"	"MS:1000005"	"1"	"Total volume of solution used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000005MS1"	"sample volume"	"MS:1000005"	"1"	"Total volume of solution used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000005MS1"	"sample volume"	"MS:1000005"	"1"	"Total volume of solution used."	\N	"HasUnits"	"milliliter"	"UO:0000098"	"IsA"	"UO:0000095"	"UO:0000095"
"MS:1000006MS1"	"sample concentration"	"MS:1000006"	"1"	"Concentration of sample in picomol/ul, femtomol/ul or attomol/ul solution used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000006MS1"	"sample concentration"	"MS:1000006"	"1"	"Concentration of sample in picomol/ul, femtomol/ul or attomol/ul solution used."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000006MS1"	"sample concentration"	"MS:1000006"	"1"	"Concentration of sample in picomol/ul, femtomol/ul or attomol/ul solution used."	\N	"HasUnits"	"gram per liter"	"UO:0000175"	"IsA"	"UO:0000052"	"UO:0000052"
"MS:1000007MS1"	"inlet type"	"MS:1000007"	"0"	"The nature of the sample inlet."	\N	"PartOf"	"source"	"MS:1000458"	"PartOf"	"instrument"	"MS:1000463"
"MS:1000008MS1"	"ionization type"	"MS:1000008"	"0"	"The method by which gas phase ions are generated from the sample."	\N	"PartOf"	"source"	"MS:1000458"	"PartOf"	"instrument"	"MS:1000463"
"MS:1000009MS1"	"ionization mode"	"MS:1000009"	"1"	"OBSOLETE Whether positive or negative ions are selected for analysis by the spectrometer."	"This term was made obsolete because it was replaced by scan polarity (MS:1000465)."	\N	\N	\N	\N	\N	\N
"MS:1000010MS1"	"analyzer type"	"MS:1000010"	"1"	"OBSOLETE The common name of the particular analyzer stage being described. Synonym of mass analyzer, should be obsoleted."	"This former purgatory term was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1000011MS1"	"mass resolution"	"MS:1000011"	"1"	"Smallest mass difference between two equal magnitude peaks so that the valley between them is a specified fraction of the peak height."	\N	"IsA"	"scan attribute"	"MS:1000503"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000011MS1"	"mass resolution"	"MS:1000011"	"1"	"Smallest mass difference between two equal magnitude peaks so that the valley between them is a specified fraction of the peak height."	\N	"IsA"	"scan attribute"	"MS:1000503"	"PartOf"	"scan"	"MS:1000441"
"MS:1000012MS1"	"resolution measurement method"	"MS:1000012"	"0"	"Which of the available standard measures is used to define whether two peaks are separate."	\N	"IsA"	"measurement method"	"MS:1000596"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000013MS1"	"resolution type"	"MS:1000013"	"1"	"OBSOLETE Specify the nature of resolution for the mass analyzer. Resolution is usually either constant with respect to m/z or proportional to m/z."	"This former purgatory term was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1000014MS1"	"accuracy"	"MS:1000014"	"1"	"Accuracy is the degree of conformity of a measured mass to its actual value."	\N	"IsA"	"mass analyzer attribute"	"MS:1000480"	"PartOf"	"mass analyzer"	"MS:1000451"
"MS:1000014MS1"	"accuracy"	"MS:1000014"	"1"	"Accuracy is the degree of conformity of a measured mass to its actual value."	\N	"HasUnits"	"m/z"	"MS:1000040"	"IsA"	"unit"	"UO:0000000"
"MS:1000014MS1"	"accuracy"	"MS:1000014"	"1"	"Accuracy is the degree of conformity of a measured mass to its actual value."	\N	"HasUnits"	"parts per million"	"UO:0000169"	"IsA"	"UO:0000166"	"UO:0000166"
"MS:1000015MS1"	"scan rate"	"MS:1000015"	"1"	"Rate in Th/sec for scanning analyzers."	\N	"IsA"	"scan attribute"	"MS:1000503"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000015MS1"	"scan rate"	"MS:1000015"	"1"	"Rate in Th/sec for scanning analyzers."	\N	"IsA"	"scan attribute"	"MS:1000503"	"PartOf"	"scan"	"MS:1000441"
"MS:1000015MS1"	"scan rate"	"MS:1000015"	"1"	"Rate in Th/sec for scanning analyzers."	\N	"HasUnits"	"Th/s"	"MS:1000807"	"IsA"	"unit"	"UO:0000000"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"IsA"	"scan attribute"	"MS:1000503"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"IsA"	"scan attribute"	"MS:1000503"	"PartOf"	"scan"	"MS:1000441"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"IsA"	"PSM-level attribute"	"MS:1002345"	"IsA"	"single identification result attribute"	"MS:1002694"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"IsA"	"PSM-level attribute"	"MS:1002345"	"PartOf"	"peptide-spectrum match"	"MS:1003301"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"HasUnits"	"second"	"UO:0000010"	"IsA"	"UO:0000003"	"UO:0000003"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"HasUnits"	"second"	"UO:0000010"	"IsA"	"UO:0000045"	"UO:0000045"
"MS:1000016MS1"	"scan start time"	"MS:1000016"	"1"	"The time that an analyzer started a scan, relative to the start of the MS run."	\N	"HasUnits"	"minute"	"UO:0000031"	"IsA"	"UO:0000003"	"UO:0000003"
"MS:1000017MS1"	"Scan Function"	"MS:1000017"	"1"	"OBSOLETE Describes the type of mass analysis being performed. Two primary modes are: typical acquisition over a range of masses (Mass Scan), and Selected Ion Detection. The primary difference is that Selected Ion Detection produces a single value for the signal at the selected mass rather than producing a mass spectrum."	"OBSOLETE This former purgatory term was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1000018MS1"	"scan direction"	"MS:1000018"	"0"	"Direction in terms of m/z of the scan for scanning analyzers (low to high, or high to low)."	\N	"PartOf"	"scan"	"MS:1000441"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000019MS1"	"scan law"	"MS:1000019"	"0"	"Describes the function in control of the m/z scan (for scanning instruments). Commonly the scan function is linear, but in principle any function can be used."	\N	"PartOf"	"scan"	"MS:1000441"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000020MS1"	"scanning method"	"MS:1000020"	"1"	"Describes the acquisition data type produced by a tandem mass spectrometry experiment."	"OBSOLETE This former purgatory term was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1000021MS1"	"reflectron state"	"MS:1000021"	"0"	"Status of the reflectron, turned on or off."	\N	"IsA"	"mass analyzer attribute"	"MS:1000480"	"PartOf"	"mass analyzer"	"MS:1000451"
"MS:1000022MS1"	"TOF Total Path Length"	"MS:1000022"	"1"	"The length of the field free drift space in a time of flight mass spectrometer."	\N	"IsA"	"mass analyzer attribute"	"MS:1000480"	"PartOf"	"mass analyzer"	"MS:1000451"
"MS:1000022MS1"	"TOF Total Path Length"	"MS:1000022"	"1"	"The length of the field free drift space in a time of flight mass spectrometer."	\N	"HasUnits"	"meter"	"UO:0000008"	"IsA"	"UO:0000001"	"UO:0000001"
"MS:1000022MS1"	"TOF Total Path Length"	"MS:1000022"	"1"	"The length of the field free drift space in a time of flight mass spectrometer."	\N	"HasUnits"	"meter"	"UO:0000008"	"IsA"	"UO:0000045"	"UO:0000045"
"MS:1000023MS1"	"isolation width"	"MS:1000023"	"1"	"OBSOLETE The total width (i.e. not half for plus-or-minus) of the gate applied around a selected precursor ion."	"This former purgatory term was made obsolete."	"HasUnits"	"m/z"	"MS:1000040"	"IsA"	"unit"	"UO:0000000"
"MS:1000024MS1"	"final MS exponent"	"MS:1000024"	"1"	"Final MS level achieved when performing PFF with the ion trap (e.g. MS E10)."	\N	"IsA"	"mass analyzer attribute"	"MS:1000480"	"PartOf"	"mass analyzer"	"MS:1000451"
"MS:1000025MS1"	"magnetic field strength"	"MS:1000025"	"1"	"A property of space that produces a force on a charged particle equal to qv x B where q is the particle charge and v its velocity."	\N	"IsA"	"mass analyzer attribute"	"MS:1000480"	"PartOf"	"mass analyzer"	"MS:1000451"
"MS:1000025MS1"	"magnetic field strength"	"MS:1000025"	"1"	"A property of space that produces a force on a charged particle equal to qv x B where q is the particle charge and v its velocity."	\N	"HasUnits"	"tesla"	"UO:0000228"	"IsA"	"UO:0000227"	"UO:0000227"
"MS:1000026MS1"	"detector type"	"MS:1000026"	"0"	"Type of detector used in the mass spectrometer."	\N	"PartOf"	"detector"	"MS:1000453"	"PartOf"	"instrument"	"MS:1000463"
"MS:1000027MS1"	"detector acquisition mode"	"MS:1000027"	"0"	"Method by which detector signal is acquired by the data system."	\N	"PartOf"	"detector"	"MS:1000453"	"PartOf"	"instrument"	"MS:1000463"
"MS:1000028MS1"	"detector resolution"	"MS:1000028"	"1"	"The resolving power of the detector to detect the smallest difference between two ions so that the valley between them is a specified fraction of the peak height."	\N	"IsA"	"detector attribute"	"MS:1000481"	"PartOf"	"detector"	"MS:1000453"
"MS:1000029MS1"	"sampling frequency"	"MS:1000029"	"1"	"The rate of signal sampling (measurement) with respect to time."	\N	"IsA"	"detector attribute"	"MS:1000481"	"PartOf"	"detector"	"MS:1000453"
"MS:1000029MS1"	"sampling frequency"	"MS:1000029"	"1"	"The rate of signal sampling (measurement) with respect to time."	\N	"HasUnits"	"hertz"	"UO:0000106"	"IsA"	"UO:0000105"	"UO:0000105"
"MS:1000030MS1"	"vendor"	"MS:1000030"	"1"	"OBSOLETE Name of instrument vendor."	"This term was made obsolete because it was replaced by instrument model (MS:1000031)."	\N	\N	\N	\N	\N	\N
"MS:1000031MS1"	"instrument model"	"MS:1000031"	"0"	"Instrument model name not including the vendor's name."	\N	"PartOf"	"instrument"	"MS:1000463"	"PartOf"	"spectrum generation information"	"MS:1001458"
"MS:1000032MS1"	"customization"	"MS:1000032"	"1"	"Free text description of a single customization made to the instrument; for several modifications, use several entries."	\N	"IsA"	"instrument attribute"	"MS:1000496"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000032MS1"	"customization"	"MS:1000032"	"1"	"Free text description of a single customization made to the instrument; for several modifications, use several entries."	\N	"IsA"	"instrument attribute"	"MS:1000496"	"PartOf"	"instrument"	"MS:1000463"
"MS:1000033MS1"	"deisotoping"	"MS:1000033"	"0"	"The removal of isotope peaks to represent the ion as one data point and is commonly done to reduce complexity. It is done in conjunction with the charge state deconvolution."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000034MS1"	"charge deconvolution"	"MS:1000034"	"1"	"The determination of the mass of an ion based on the mass spectral peaks that represent multiple-charge ions."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000035MS1"	"peak picking"	"MS:1000035"	"0"	"Spectral peak processing conducted on the acquired data to convert profile data to centroided data."	\N	"IsA"	"data processing action"	"MS:1000543"	"IsA"	"data transformation"	"MS:1000452"
"MS:1000036MS1"	"scan mode"	"MS:1000036"	"1"	"OBSOLETE."	"This term was made obsolete because ."	\N	\N	\N	\N	\N	\N
"MS:1000037MS1"	"polarity"	"MS:1000037"	"1"	"OBSOLETE Terms to describe the polarity setting of the instrument."	"This term was made obsolete because it was redundant with the Pato Ontology term polarity (UO:0002186)."	\N	\N	\N	\N	\N	\N
"MS:1000038MS1"	"minute"	"MS:1000038"	"1"	"OBSOLETE Acquisition time in minutes."	"This term was made obsolete because it was redundant with Unit Ontology minute (UO:0000031)."	\N	\N	\N	\N	\N	\N
"MS:1000039MS1"	"second"	"MS:1000039"	"1"	"OBSOLETE Acquisition time in seconds."	"This term was made obsolete because it was redundant with Unit Ontology second (UO:0000010)."	\N	\N	\N	\N	\N	\N
"MS:1000040MS1"	"m/z"	"MS:1000040"	"0"	"Three-character symbol m/z is used to denote the quantity formed by dividing the mass of an ion in unified atomic mass units by its charge number (regardless of sign). The symbol is written in italicized lower case letters with no spaces. Note 1: The term mass-to-charge-ratio is deprecated. Mass-to-charge ratio has been used for the abscissa of a mass spectrum, although the quantity measured is not the quotient of the ion's mass to its electric charge. The three-character symbol m/z is recommended for the quantity that is the independent variable in a mass spectrum Note 2: The proposed unit thomson (Th) is deprecated."	\N	"IsA"	"unit"	"UO:0000000"	\N	\N	\N
"MS:1000041MS1"	"charge state"	"MS:1000041"	"1"	"Number of net charges, positive or negative, on an ion."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000041MS1"	"charge state"	"MS:1000041"	"1"	"Number of net charges, positive or negative, on an ion."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000041MS1"	"charge state"	"MS:1000041"	"1"	"Number of net charges, positive or negative, on an ion."	\N	"IsA"	"ion property"	"MS:1000507"	"PartOf"	"ion"	"MS:1002806"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"IsA"	"ion selection attribute"	"MS:1000455"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"HasUnits"	"number of detector counts"	"MS:1000131"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"HasUnits"	"percent of base peak"	"MS:1000132"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"HasUnits"	"counts per second"	"MS:1000814"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"HasUnits"	"percent of base peak times 100"	"MS:1000905"	"IsA"	"intensity unit"	"MS:1000043"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"HasUnits"	"absorbance unit"	"UO:0000269"	"IsA"	"UO:0000186"	"UO:0000186"
"MS:1000042MS1"	"peak intensity"	"MS:1000042"	"1"	"Intensity of ions as measured by the height or area of a peak in a mass spectrum."	\N	"PartOf"	"peak"	"MS:1000231"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000043MS1"	"intensity unit"	"MS:1000043"	"0"	"Intensity units are commonly arbitrary. Detected in counts per second (cps) when using counting detectors, but measured in volts when using analog detectors."	\N	"IsA"	"unit"	"UO:0000000"	\N	\N	\N
"MS:1000044MS1"	"dissociation method"	"MS:1000044"	"0"	"Fragmentation method used for dissociation or fragmentation."	\N	"PartOf"	"precursor activation"	"MS:1000456"	"PartOf"	"spectrum"	"MS:1000442"
"MS:1000045MS1"	"collision energy"	"MS:1000045"	"0"	"Energy for an ion experiencing collision with a stationary gas particle resulting in dissociation of the ion."	\N	"IsA"	"precursor activation attribute"	"MS:1000510"	"PartOf"	"precursor activation"	"MS:1000456"
"MS:1000045MS1"	"collision energy"	"MS:1000045"	"0"	"Energy for an ion experiencing collision with a stationary gas particle resulting in dissociation of the ion."	\N	"HasUnits"	"electronvolt"	"UO:0000266"	"IsA"	"UO:0000111"	"UO:0000111"
"MS:1000046MS1"	"energy unit"	"MS:1000046"	"1"	"OBSOLETE Energy units are represented in either eV or Joules."	"This term was made obsolete because it was redundant with the Unit Ontology term energy unit (UO:0000111)."	"IsA"	"unit"	"UO:0000000"	\N	\N	\N
"MS:1000047MS1"	"emulsion"	"MS:1000047"	"1"	"State if the sample is in emulsion form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000048MS1"	"gaseous sample state"	"MS:1000048"	"1"	"State if the sample is in gaseous form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000049MS1"	"liquid sample state"	"MS:1000049"	"1"	"State if the sample is in liquid form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000050MS1"	"solid sample state"	"MS:1000050"	"1"	"State if the sample is in solid form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000051MS1"	"solution"	"MS:1000051"	"1"	"State if the sample is in solution form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000052MS1"	"suspension"	"MS:1000052"	"1"	"State if the sample is in suspension form."	\N	"IsA"	"sample state"	"MS:1000003"	"IsA"	"sample attribute"	"MS:1000548"
"MS:1000053MS1"	"sample batch"	"MS:1000053"	"1"	"Sample batch lot identifier."	\N	"IsA"	"sample attribute"	"MS:1000548"	"IsA"	"object attribute"	"MS:1000547"
"MS:1000053MS1"	"sample batch"	"MS:1000053"	"1"	"Sample batch lot identifier."	\N	"IsA"	"sample attribute"	"MS:1000548"	"PartOf"	"sample"	"MS:1000457"
"MS:1000054MS1"	"chromatography"	"MS:1000054"	"1"	"OBSOLETE Chromatographic conditions used to obtain the sample."	"This former purgatory term was made obsolete."	\N	\N	\N	\N	\N	\N
"MS:1000055MS1"	"continuous flow fast atom bombardment"	"MS:1000055"	"1"	"Fast atom bombardment ionization in which the analyte in solution is entrained in a flowing liquid matrix."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000056MS1"	"direct inlet"	"MS:1000056"	"1"	"The sample is directly inserted into the ion source, usually on the end of a heatable probe."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000057MS1"	"electrospray inlet"	"MS:1000057"	"0"	"Inlet used for introducing the liquid sample into an electrospray ionization source."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000058MS1"	"flow injection analysis"	"MS:1000058"	"1"	"Sample is directly injected or infused into the ionization source."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000059MS1"	"inductively coupled plasma"	"MS:1000059"	"1"	"A gas discharge ion source in which the energy to the plasma is supplied by electromagnetic induction."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000060MS1"	"infusion"	"MS:1000060"	"1"	"The continuous flow of solution of a sample into the ionization source."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000061MS1"	"jet separator"	"MS:1000061"	"1"	"A device that separates carrier gas from gaseous analyte molecules on the basis of diffusivity."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000062MS1"	"membrane separator"	"MS:1000062"	"1"	"A device to separate carrier molecules from analyte molecules on the basis of ease of diffusion across a semipermeable membrane."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000063MS1"	"moving belt"	"MS:1000063"	"1"	"Continuous moving surface in the form of a belt which passes through an ion source carrying analyte molecules."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000064MS1"	"moving wire"	"MS:1000064"	"1"	"Continuous moving surface in the form of a wire which passes through an ion source carrying analyte molecules."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000065MS1"	"open split"	"MS:1000065"	"1"	"A division of flowing stream of liquid into two streams."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000066MS1"	"particle beam"	"MS:1000066"	"1"	"Method for generating ions from a solution of an analyte."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000067MS1"	"reservoir"	"MS:1000067"	"1"	"A sample inlet method involving a reservoir."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000068MS1"	"septum"	"MS:1000068"	"1"	"A disc composed of a flexible material that seals the entrance to the reservoir. Can also be entrance to the vacuum chamber."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
"MS:1000069MS1"	"thermospray inlet"	"MS:1000069"	"1"	"A method for generating gas phase ions from a solution of an analyte by rapid heating of the sample."	\N	"IsA"	"inlet type"	"MS:1000007"	"PartOf"	"source"	"MS:1000458"
