Term_PK	Term_Name	Identifier	Is_Leaf	Parent_term_type	Parent_term_name	Parent_term_ID	GrandParent_term_type	GrandParent_term_name	GrandParent_term_ID
MS:1000015MS1	scan rate	MS:1000015	1	IsA	scan attribute	MS:1000503	IsA	object attribute	MS:1000547
MS:1000015MS1	scan rate	MS:1000015	1	IsA	scan attribute	MS:1000503	PartOf	scan	MS:1000441
MS:1000015MS1	scan rate	MS:1000015	1	HasUnits	Th/s	MS:1000807	IsA	unit	UO:0000000
MS:1000016MS1	scan start time	MS:1000016	1	IsA	scan attribute	MS:1000503	IsA	object attribute	MS:1000547
MS:1000016MS1	scan start time	MS:1000016	1	IsA	scan attribute	MS:1000503	PartOf	scan	MS:1000441
MS:1000016MS1	scan start time	MS:1000016	1	IsA	PSM-level attribute	MS:1002345	IsA	single identification result attribute	MS:1002694
MS:1000016MS1	scan start time	MS:1000016	1	IsA	PSM-level attribute	MS:1002345	PartOf	peptide-spectrum match	MS:1003301
MS:1000016MS1	scan start time	MS:1000016	1	HasUnits	second	UO:0000010	IsA	UO:0000003	UO:0000003
MS:1000016MS1	scan start time	MS:1000016	1	HasUnits	second	UO:0000010	IsA	UO:0000045	UO:0000045
MS:1000016MS1	scan start time	MS:1000016	1	HasUnits	minute	UO:0000031	IsA	UO:0000003	UO:0000003
MS:1000017MS1	Scan Function	MS:1000017	1						
MS:1000018MS1	scan direction	MS:1000018	0	PartOf	scan	MS:1000441	PartOf	spectrum generation information	MS:1001458
MS:1000019MS1	scan law	MS:1000019	0	PartOf	scan	MS:1000441	PartOf	spectrum generation information	MS:1001458
MS:1000020MS1	scanning method	MS:1000020	1						
MS:1000021MS1	reflectron state	MS:1000021	0	IsA	mass analyzer attribute	MS:1000480	PartOf	mass analyzer	MS:1000451
MS:1000022MS1	TOF Total Path Length	MS:1000022	1	IsA	mass analyzer attribute	MS:1000480	PartOf	mass analyzer	MS:1000451
MS:1000022MS1	TOF Total Path Length	MS:1000022	1	HasUnits	meter	UO:0000008	IsA	UO:0000001	UO:0000001
MS:1000022MS1	TOF Total Path Length	MS:1000022	1	HasUnits	meter	UO:0000008	IsA	UO:0000045	UO:0000045
MS:1000023MS1	isolation width	MS:1000023	1	HasUnits	m/z	MS:1000040	IsA	unit	UO:0000000
MS:1000024MS1	final MS exponent	MS:1000024	1	IsA	mass analyzer attribute	MS:1000480	PartOf	mass analyzer	MS:1000451
MS:1000025MS1	magnetic field strength	MS:1000025	1	IsA	mass analyzer attribute	MS:1000480	PartOf	mass analyzer	MS:1000451
MS:1000025MS1	magnetic field strength	MS:1000025	1	HasUnits	tesla	UO:0000228	IsA	UO:0000227	UO:0000227
MS:1000026MS1	detector type	MS:1000026	0	PartOf	detector	MS:1000453	PartOf	instrument	MS:1000463
MS:1000027MS1	detector acquisition mode	MS:1000027	0	PartOf	detector	MS:1000453	PartOf	instrument	MS:1000463
MS:1000028MS1	detector resolution	MS:1000028	1	IsA	detector attribute	MS:1000481	PartOf	detector	MS:1000453
MS:1000029MS1	sampling frequency	MS:1000029	1	IsA	detector attribute	MS:1000481	PartOf	detector	MS:1000453
MS:1000029MS1	sampling frequency	MS:1000029	1	HasUnits	hertz	UO:0000106	IsA	UO:0000105	UO:0000105
MS:1000030MS1	vendor	MS:1000030	1						
MS:1000031MS1	instrument model	MS:1000031	0	PartOf	instrument	MS:1000463	PartOf	spectrum generation information	MS:1001458
MS:1000032MS1	customization	MS:1000032	1	IsA	instrument attribute	MS:1000496	IsA	object attribute	MS:1000547
MS:1000032MS1	customization	MS:1000032	1	IsA	instrument attribute	MS:1000496	PartOf	instrument	MS:1000463
MS:1000033MS1	deisotoping	MS:1000033	0	IsA	data processing action	MS:1000543	IsA	data transformation	MS:1000452
MS:1000034MS1	charge deconvolution	MS:1000034	1	IsA	data processing action	MS:1000543	IsA	data transformation	MS:1000452
MS:1000035MS1	peak picking	MS:1000035	0	IsA	data processing action	MS:1000543	IsA	data transformation	MS:1000452
MS:1000036MS1	scan mode	MS:1000036	1						
MS:1000037MS1	polarity	MS:1000037	1						
MS:1000038MS1	minute	MS:1000038	1						
MS:1000039MS1	second	MS:1000039	1						
MS:1000040MS1	m/z	MS:1000040	0	IsA	unit	UO:0000000			
MS:1000041MS1	charge state	MS:1000041	1	IsA	ion selection attribute	MS:1000455	IsA	object attribute	MS:1000547
MS:1000041MS1	charge state	MS:1000041	1	IsA	ion selection attribute	MS:1000455	PartOf	spectrum	MS:1000442
MS:1000041MS1	charge state	MS:1000041	1	IsA	ion property	MS:1000507	PartOf	ion	MS:1002806
MS:1000042MS1	peak intensity	MS:1000042	1	IsA	ion selection attribute	MS:1000455	IsA	object attribute	MS:1000547
MS:1000042MS1	peak intensity	MS:1000042	1	IsA	ion selection attribute	MS:1000455	PartOf	spectrum	MS:1000442
MS:1000042MS1	peak intensity	MS:1000042	1	HasUnits	number of detector counts	MS:1000131	IsA	intensity unit	MS:1000043
MS:1000042MS1	peak intensity	MS:1000042	1	HasUnits	percent of base peak	MS:1000132	IsA	intensity unit	MS:1000043
MS:1000042MS1	peak intensity	MS:1000042	1	HasUnits	counts per second	MS:1000814	IsA	intensity unit	MS:1000043
MS:1000042MS1	peak intensity	MS:1000042	1	HasUnits	percent of base peak times 100	MS:1000905	IsA	intensity unit	MS:1000043
MS:1000042MS1	peak intensity	MS:1000042	1	HasUnits	absorbance unit	UO:0000269	IsA	UO:0000186	UO:0000186
MS:1000042MS1	peak intensity	MS:1000042	1	PartOf	peak	MS:1000231	PartOf	spectrum	MS:1000442
MS:1000043MS1	intensity unit	MS:1000043	0	IsA	unit	UO:0000000			
MS:1000044MS1	dissociation method	MS:1000044	0	PartOf	precursor activation	MS:1000456	PartOf	spectrum	MS:1000442
MS:1000045MS1	collision energy	MS:1000045	0	IsA	precursor activation attribute	MS:1000510	PartOf	precursor activation	MS:1000456
MS:1000045MS1	collision energy	MS:1000045	0	HasUnits	electronvolt	UO:0000266	IsA	UO:0000111	UO:0000111
MS:1000046MS1	energy unit	MS:1000046	1	IsA	unit	UO:0000000			
MS:1000047MS1	emulsion	MS:1000047	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000048MS1	gaseous sample state	MS:1000048	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000049MS1	liquid sample state	MS:1000049	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000050MS1	solid sample state	MS:1000050	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000051MS1	solution	MS:1000051	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000052MS1	suspension	MS:1000052	1	IsA	sample state	MS:1000003	IsA	sample attribute	MS:1000548
MS:1000053MS1	sample batch	MS:1000053	1	IsA	sample attribute	MS:1000548	IsA	object attribute	MS:1000547
MS:1000053MS1	sample batch	MS:1000053	1	IsA	sample attribute	MS:1000548	PartOf	sample	MS:1000457
MS:1000054MS1	chromatography	MS:1000054	1						
MS:1000055MS1	continuous flow fast atom bombardment	MS:1000055	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000056MS1	direct inlet	MS:1000056	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000057MS1	electrospray inlet	MS:1000057	0	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000058MS1	flow injection analysis	MS:1000058	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000059MS1	inductively coupled plasma	MS:1000059	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000060MS1	infusion	MS:1000060	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000061MS1	jet separator	MS:1000061	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000062MS1	membrane separator	MS:1000062	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000063MS1	moving belt	MS:1000063	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000064MS1	moving wire	MS:1000064	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000065MS1	open split	MS:1000065	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000066MS1	particle beam	MS:1000066	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000067MS1	reservoir	MS:1000067	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000068MS1	septum	MS:1000068	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000069MS1	thermospray inlet	MS:1000069	1	IsA	inlet type	MS:1000007	PartOf	source	MS:1000458
MS:1000070MS1	atmospheric pressure chemical ionization	MS:1000070	1	IsA	atmospheric pressure ionization	MS:1000240	IsA	ionization type	MS:1000008
MS:1000071MS1	chemical ionization	MS:1000071	1	IsA	ionization type	MS:1000008	PartOf	source	MS:1000458
MS:1000072MS1	Electronic Ionization	MS:1000072	1						
MS:1000073MS1	electrospray ionization	MS:1000073	0	IsA	ionization type	MS:1000008	PartOf	source	MS:1000458
MS:1000074MS1	fast atom bombardment ionization	MS:1000074	1	IsA	ionization type	MS:1000008	PartOf	source	MS:1000458
MS:1000075MS1	matrix-assisted laser desorption ionization	MS:1000075	1	IsA	desorption ionization	MS:1000247	IsA	ionization type	MS:1000008
MS:1000076MS1	negative ion mode	MS:1000076	1						
MS:1000077MS1	positive ion mode	MS:1000077	1						
MS:1000078MS1	axial ejection linear ion trap	MS:1000078	1	IsA	linear ion trap	MS:1000291	IsA	ion trap	MS:1000264
MS:1000079MS1	fourier transform ion cyclotron resonance mass spectrometer	MS:1000079	1	IsA	mass analyzer type	MS:1000443	PartOf	mass analyzer	MS:1000451
MS:1000080MS1	magnetic sector	MS:1000080	1	IsA	mass analyzer type	MS:1000443	PartOf	mass analyzer	MS:1000451
MS:1000081MS1	quadrupole	MS:1000081	1	IsA	mass analyzer type	MS:1000443	PartOf	mass analyzer	MS:1000451
MS:1000082MS1	quadrupole ion trap	MS:1000082	1	IsA	ion trap	MS:1000264	IsA	mass analyzer type	MS:1000443
MS:1000083MS1	radial ejection linear ion trap	MS:1000083	1	IsA	linear ion trap	MS:1000291	IsA	ion trap	MS:1000264
MS:1000084MS1	time-of-flight	MS:1000084	0	IsA	mass analyzer type	MS:1000443	PartOf	mass analyzer	MS:1000451
MS:1000085MS1	baseline	MS:1000085	1	IsA	resolution measurement method	MS:1000012	IsA	measurement method	MS:1000596
MS:1000086MS1	full width at half-maximum	MS:1000086	1	IsA	resolution measurement method	MS:1000012	IsA	measurement method	MS:1000596
MS:1000087MS1	ten percent valley	MS:1000087	1	IsA	resolution measurement method	MS:1000012	IsA	measurement method	MS:1000596
MS:1000088MS1	constant	MS:1000088	1						
MS:1000089MS1	proportional	MS:1000089	1						
MS:1000090MS1	mass scan	MS:1000090	1						
MS:1000091MS1	selected ion detection	MS:1000091	1						
MS:1000092MS1	decreasing m/z scan	MS:1000092	1	IsA	scan direction	MS:1000018	PartOf	scan	MS:1000441
MS:1000093MS1	increasing m/z scan	MS:1000093	1	IsA	scan direction	MS:1000018	PartOf	scan	MS:1000441
MS:1000094MS1	exponential	MS:1000094	1	IsA	scan law	MS:1000019	PartOf	scan	MS:1000441
MS:1000095MS1	linear	MS:1000095	1	IsA	scan law	MS:1000019	PartOf	scan	MS:1000441
MS:1000096MS1	quadratic	MS:1000096	1	IsA	scan law	MS:1000019	PartOf	scan	MS:1000441
MS:1000097MS1	constant neutral mass loss	MS:1000097	1						
MS:1000098MS1	multiple ion monitoring	MS:1000098	1						
MS:1000099MS1	multiple reaction monitoring	MS:1000099	1						
MS:1000100MS1	precursor ion scan	MS:1000100	1						
MS:1000101MS1	product ion scan	MS:1000101	1						
MS:1000102MS1	single ion monitoring	MS:1000102	1						
MS:1000103MS1	single reaction monitoring	MS:1000103	1						
MS:1000104MS1	None ??	MS:1000104	1						
MS:1000105MS1	reflectron off	MS:1000105	1	IsA	reflectron state	MS:1000021	IsA	mass analyzer attribute	MS:1000480
MS:1000106MS1	reflectron on	MS:1000106	1	IsA	reflectron state	MS:1000021	IsA	mass analyzer attribute	MS:1000480
MS:1000107MS1	channeltron	MS:1000107	1	IsA	detector type	MS:1000026	PartOf	detector	MS:1000453
MS:1000108MS1	conversion dynode electron multiplier	MS:1000108	1	IsA	conversion dynode	MS:1000346	IsA	detector type	MS:1000026
MS:1000109MS1	conversion dynode photomultiplier	MS:1000109	1	IsA	conversion dynode	MS:1000346	IsA	detector type	MS:1000026
MS:1000110MS1	daly detector	MS:1000110	1	IsA	detector type	MS:1000026	PartOf	detector	MS:1000453
MS:1000111MS1	electron multiplier tube	MS:1000111	1	IsA	electron multiplier	MS:1000253	IsA	detector type	MS:1000026
MS:1000112MS1	faraday cup	MS:1000112	1	IsA	detector type	MS:1000026	PartOf	detector	MS:1000453
MS:1000113MS1	focal plane array	MS:1000113	1	IsA	focal plane collector	MS:1000348	IsA	detector type	MS:1000026
MS:1000114MS1	microchannel plate detector	MS:1000114	1	IsA	array detector	MS:1000345	IsA	detector type	MS:1000026
MS:1000115MS1	multi-collector	MS:1000115	1	IsA	detector type	MS:1000026	PartOf	detector	MS:1000453
MS:1000116MS1	photomultiplier	MS:1000116	1	IsA	detector type	MS:1000026	PartOf	detector	MS:1000453
MS:1000117MS1	analog-digital converter	MS:1000117	1	IsA	detector acquisition mode	MS:1000027	PartOf	detector	MS:1000453
MS:1000118MS1	pulse counting	MS:1000118	1	IsA	detector acquisition mode	MS:1000027	PartOf	detector	MS:1000453
MS:1000119MS1	time-digital converter	MS:1000119	1	IsA	detector acquisition mode	MS:1000027	PartOf	detector	MS:1000453
MS:1000120MS1	transient recorder	MS:1000120	1	IsA	detector acquisition mode	MS:1000027	PartOf	detector	MS:1000453
MS:1000121MS1	SCIEX instrument model	MS:1000121	0	IsA	instrument model	MS:1000031	PartOf	instrument	MS:1000463
MS:1000122MS1	Bruker Daltonics instrument model	MS:1000122	0	IsA	instrument model	MS:1000031	PartOf	instrument	MS:1000463
MS:1000123MS1	IonSpec instrument model	MS:1000123	0	IsA	Varian instrument model	MS:1000489	IsA	instrument model	MS:1000031
MS:1000124MS1	Shimadzu instrument model	MS:1000124	0	IsA	instrument model	MS:1000031	PartOf	instrument	MS:1000463
MS:1000125MS1	Thermo Finnigan instrument model	MS:1000125	0	IsA	Thermo Fisher Scientific instrument model	MS:1000483	IsA	instrument model	MS:1000031
MS:1000126MS1	Waters instrument model	MS:1000126	0	IsA	instrument model	MS:1000031	PartOf	instrument	MS:1000463
MS:1000127MS1	centroid spectrum	MS:1000127	1	IsA	spectrum representation	MS:1000525	PartOf	spectrum	MS:1000442
MS:1000128MS1	profile spectrum	MS:1000128	1	IsA	spectrum representation	MS:1000525	PartOf	spectrum	MS:1000442
MS:1000129MS1	negative scan	MS:1000129	1	IsA	scan polarity	MS:1000465	PartOf	scan	MS:1000441
MS:1000129MS1	negative scan	MS:1000129	1	IsA	chromatogram attribute	MS:1000808	IsA	object attribute	MS:1000547
MS:1000129MS1	negative scan	MS:1000129	1	IsA	chromatogram attribute	MS:1000808	PartOf	chromatogram	MS:1000625
MS:1000130MS1	positive scan	MS:1000130	1	IsA	scan polarity	MS:1000465	PartOf	scan	MS:1000441
MS:1000130MS1	positive scan	MS:1000130	1	IsA	chromatogram attribute	MS:1000808	IsA	object attribute	MS:1000547
MS:1000130MS1	positive scan	MS:1000130	1	IsA	chromatogram attribute	MS:1000808	PartOf	chromatogram	MS:1000625
MS:1000131MS1	number of detector counts	MS:1000131	0	IsA	intensity unit	MS:1000043	IsA	unit	UO:0000000
MS:1000132MS1	percent of base peak	MS:1000132	0	IsA	intensity unit	MS:1000043	IsA	unit	UO:0000000
MS:1000133MS1	collision-induced dissociation	MS:1000133	0	IsA	dissociation method	MS:1000044	PartOf	precursor activation	MS:1000456
MS:1000134MS1	plasma desorption	MS:1000134	1	IsA	dissociation method	MS:1000044	PartOf	precursor activation	MS:1000456
MS:1000135MS1	post-source decay	MS:1000135	1	IsA	dissociation method	MS:1000044	PartOf	precursor activation	MS:1000456
MS:1000136MS1	surface-induced dissociation	MS:1000136	1	IsA	dissociation method	MS:1000044	PartOf	precursor activation	MS:1000456
MS:1000137MS1	electron volt	MS:1000137	1						
MS:1000138MS1	normalized collision energy	MS:1000138	0	IsA	precursor activation attribute	MS:1000510	PartOf	precursor activation	MS:1000456
MS:1000138MS1	normalized collision energy	MS:1000138	0	HasUnits	percent	UO:0000187	IsA	UO:0000190	UO:0000190
MS:1000139MS1	4000 QTRAP	MS:1000139	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000140MS1	4700 Proteomics Analyzer	MS:1000140	1	IsA	Applied Biosystems instrument model	MS:1000495	IsA	instrument model	MS:1000031
MS:1000141MS1	apex IV	MS:1000141	1	IsA	Bruker Daltonics apex series	MS:1001556	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000142MS1	apex Q	MS:1000142	1	IsA	Bruker Daltonics apex series	MS:1001556	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000143MS1	API 150EX	MS:1000143	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000144MS1	API 150EX Prep	MS:1000144	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000145MS1	API 2000	MS:1000145	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000146MS1	API 3000	MS:1000146	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000147MS1	API 4000	MS:1000147	1	IsA	SCIEX instrument model	MS:1000121	IsA	instrument model	MS:1000031
MS:1000148MS1	autoflex II	MS:1000148	1	IsA	Bruker Daltonics flex series	MS:1001534	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000149MS1	autoflex TOF/TOF	MS:1000149	1	IsA	Bruker Daltonics flex series	MS:1001534	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000150MS1	Auto Spec Ultima NT	MS:1000150	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000151MS1	BioTOF II	MS:1000151	1	IsA	Bruker Daltonics BioTOF series	MS:1001535	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000152MS1	BioTOF-Q	MS:1000152	1	IsA	Bruker Daltonics BioTOF series	MS:1001535	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000153MS1	DELTA plusAdvantage	MS:1000153	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000154MS1	DELTAplusXP	MS:1000154	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000155MS1	ELEMENT2	MS:1000155	1						
MS:1000156MS1	esquire 4000	MS:1000156	1	IsA	Bruker Daltonics esquire series	MS:1001533	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000157MS1	esquire 6000	MS:1000157	1	IsA	Bruker Daltonics esquire series	MS:1001533	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000158MS1	explorer	MS:1000158	1	IsA	IonSpec instrument model	MS:1000123	IsA	Varian instrument model	MS:1000489
MS:1000159MS1	GCT	MS:1000159	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000160MS1	HCT	MS:1000160	1	IsA	Bruker Daltonics HCT Series	MS:1000697	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000161MS1	HCTplus	MS:1000161	1	IsA	Bruker Daltonics HCT Series	MS:1000697	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000162MS1	HiRes ESI	MS:1000162	1	IsA	IonSpec instrument model	MS:1000123	IsA	Varian instrument model	MS:1000489
MS:1000163MS1	HiRes MALDI	MS:1000163	1	IsA	IonSpec instrument model	MS:1000123	IsA	Varian instrument model	MS:1000489
MS:1000164MS1	IsoPrime	MS:1000164	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000165MS1	IsoProbe	MS:1000165	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000166MS1	IsoProbe T	MS:1000166	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000167MS1	LCQ Advantage	MS:1000167	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000168MS1	LCQ Classic	MS:1000168	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000169MS1	LCQ Deca XP Plus	MS:1000169	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000170MS1	M@LDI L	MS:1000170	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000171MS1	M@LDI LR	MS:1000171	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000172MS1	MAT253	MS:1000172	1	IsA	Finnigan MAT instrument model	MS:1000493	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000173MS1	MAT900XP	MS:1000173	1	IsA	Finnigan MAT instrument model	MS:1000493	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000174MS1	MAT900XP Trap	MS:1000174	1	IsA	Finnigan MAT instrument model	MS:1000493	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000175MS1	MAT95XP	MS:1000175	1	IsA	Finnigan MAT instrument model	MS:1000493	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000176MS1	MAT95XP Trap	MS:1000176	1	IsA	Finnigan MAT instrument model	MS:1000493	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000177MS1	microflex	MS:1000177	1	IsA	Bruker Daltonics flex series	MS:1001534	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000178MS1	microTOF LC	MS:1000178	1	IsA	Bruker Daltonics micrOTOF series	MS:1001536	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000179MS1	neptune	MS:1000179	1	IsA	Thermo Finnigan instrument model	MS:1000125	IsA	Thermo Fisher Scientific instrument model	MS:1000483
MS:1000180MS1	NG-5400	MS:1000180	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
MS:1000181MS1	OMEGA	MS:1000181	1	IsA	IonSpec instrument model	MS:1000123	IsA	Varian instrument model	MS:1000489
MS:1000182MS1	OMEGA-2001	MS:1000182	1	IsA	IonSpec instrument model	MS:1000123	IsA	Varian instrument model	MS:1000489
MS:1000183MS1	OmniFlex	MS:1000183	1	IsA	Bruker Daltonics flex series	MS:1001534	IsA	Bruker Daltonics instrument model	MS:1000122
MS:1000184MS1	Platform ICP	MS:1000184	1	IsA	Waters instrument model	MS:1000126	IsA	instrument model	MS:1000031
