..\docs\psi-ms_3.84.0.obo /StripQuotes /NoP /NoObsolete

Term_PK	Term_Name	Identifier	Is_Leaf	Definition
MS:1000132MS1	percent of base peak	MS:1000132	0	The magnitude of a peak or measurement element expressed in terms of the percentage of the magnitude of the base peak intensity.
MS:1000133MS1	collision-induced dissociation	MS:1000133	0	The dissociation of an ion after collisional excitation. The term collisional-activated dissociation is not recommended.
MS:1000134MS1	plasma desorption	MS:1000134	1	The ionization of material in a solid sample by bombarding it with ionic or neutral atoms formed as a result of the fission of a suitable nuclide, typically 252Cf. Synonymous with fission fragment ionization.
MS:1000135MS1	post-source decay	MS:1000135	1	A technique specific to reflectron time-of-flight mass spectrometers where product ions of metastable transitions or collision-induced dissociations generated in the drift tube prior to entering the reflectron are m/z separated to yield product ion spectra.
MS:1000136MS1	surface-induced dissociation	MS:1000136	1	Fragmentation that results from the collision of an ion with a surface.
MS:1000138MS1	normalized collision energy	MS:1000138	0	Instrument setting, expressed in percent, for adjusting collisional energies of ions in an effort to provide equivalent excitation of all ions.
MS:1000139MS1	4000 QTRAP	MS:1000139	1	Applied Biosystems/MDS SCIEX Q 4000 TRAP MS.
MS:1000140MS1	4700 Proteomics Analyzer	MS:1000140	1	Applied Biosystems/MDS SCIEX 4700 Proteomics Analyzer MS.
MS:1000141MS1	apex IV	MS:1000141	1	Bruker Daltonics' apex IV: ESI, MALDI, Nanospray, APCI, APPI, Qh-FT_ICR.
MS:1000142MS1	apex Q	MS:1000142	1	Bruker Daltonics' apex Q: ESI, MALDI, Nanospray, APCI, APPI, Qh-FT_ICR.
MS:1000143MS1	API 150EX	MS:1000143	1	Applied Biosystems/MDS SCIEX API 150EX MS.
MS:1000144MS1	API 150EX Prep	MS:1000144	1	Applied Biosystems/MDS SCIEX API 150EX Prep MS.
MS:1000145MS1	API 2000	MS:1000145	1	Applied Biosystems/MDS SCIEX API 2000 MS.
MS:1000146MS1	API 3000	MS:1000146	1	Applied Biosystems/MDS SCIEX API 3000 MS.
MS:1000147MS1	API 4000	MS:1000147	1	Applied Biosystems/MDS SCIEX API 4000 MS.
MS:1000148MS1	autoflex II	MS:1000148	1	Bruker Daltonics' autoflex II: MALDI TOF.
MS:1000149MS1	autoflex TOF/TOF	MS:1000149	1	Bruker Daltonics' autoflex TOF/TOF MS: MALDI TOF.
MS:1000150MS1	Auto Spec Ultima NT	MS:1000150	1	Waters AutoSpec Ultima NT MS.
MS:1000151MS1	BioTOF II	MS:1000151	1	Bruker Daltonics' BioTOF II: ESI TOF.
MS:1000152MS1	BioTOF-Q	MS:1000152	1	Bruker Daltonics' BioTOF-Q: ESI Q-TOF.
MS:1000153MS1	DELTA plusAdvantage	MS:1000153	1	ThermoFinnigan DELTA plusAdvantage MS.
MS:1000154MS1	DELTAplusXP	MS:1000154	1	ThermoFinnigan DELTAplusXP MS.
MS:1000156MS1	esquire 4000	MS:1000156	1	Bruker Daltonics' esquire 4000: linear ion trap, ESI, MALDI, Nanospray, APCI, APPI.
MS:1000157MS1	esquire 6000	MS:1000157	1	Bruker Daltonics' esquire 6000: linear ion trap, ESI, MALDI, Nanospray, APCI, APPI.
MS:1000158MS1	explorer	MS:1000158	1	IonSpec Explorer MS.
MS:1000159MS1	GCT	MS:1000159	1	Waters oa-ToF based GCT.
MS:1000160MS1	HCT	MS:1000160	1	Bruker Daltonics' HCT: ESI Q-TOF, Nanospray, APCI, APPI.
MS:1000161MS1	HCTplus	MS:1000161	1	Bruker Daltonics' HCTplus: ESI Q-TOF, Nanospray, APCI, APPI.
MS:1000162MS1	HiRes ESI	MS:1000162	1	IonSpec HiResESI MS.
MS:1000163MS1	HiRes MALDI	MS:1000163	1	IonSpec HiResMALDI MS.
MS:1000164MS1	IsoPrime	MS:1000164	1	Waters IsoPrime MS.
MS:1000165MS1	IsoProbe	MS:1000165	1	Waters IsoProbe MS.
MS:1000166MS1	IsoProbe T	MS:1000166	1	Waters IsoProbe T MS.
MS:1000167MS1	LCQ Advantage	MS:1000167	1	ThermoFinnigan LCQ Advantage MS.
MS:1000168MS1	LCQ Classic	MS:1000168	1	ThermoFinnigan LCQ Classic MS.
MS:1000169MS1	LCQ Deca XP Plus	MS:1000169	1	ThermoFinnigan LCQ Deca XP Plus MS.
MS:1000170MS1	M@LDI L	MS:1000170	1	Waters oa-ToF based MALDI L.
MS:1000171MS1	M@LDI LR	MS:1000171	1	Waters oa-ToF based MALDI LR.
MS:1000172MS1	MAT253	MS:1000172	1	ThermoFinnigan MAT253 MS.
MS:1000173MS1	MAT900XP	MS:1000173	1	ThermoFinnigan MAT900XP MS.
MS:1000174MS1	MAT900XP Trap	MS:1000174	1	ThermoFinnigan MAT900XP Trap MS.
MS:1000175MS1	MAT95XP	MS:1000175	1	ThermoFinnigan MAT95XP MS.
MS:1000176MS1	MAT95XP Trap	MS:1000176	1	ThermoFinnigan MAT95XP Trap MS.
MS:1000177MS1	microflex	MS:1000177	1	Bruker Daltonics' microflex: MALDI TOF.
MS:1000178MS1	microTOF LC	MS:1000178	1	Bruker Daltonics' microTOF LC: ESI TOF, Nanospray, APCI, APPI.
MS:1000179MS1	neptune	MS:1000179	1	ThermoFinnigan NEPTUNE MS.
MS:1000180MS1	NG-5400	MS:1000180	1	Waters NG-5400 MS.
MS:1000181MS1	OMEGA	MS:1000181	1	IonSpec OMEGA MS.
MS:1000182MS1	OMEGA-2001	MS:1000182	1	IonSpec OMEGA-2001 MS.
MS:1000183MS1	OmniFlex	MS:1000183	1	Bruker Daltonics' OmniFlex: MALDI TOF.
MS:1000184MS1	Platform ICP	MS:1000184	1	Waters Platform ICP MS.
MS:1000185MS1	PolarisQ	MS:1000185	1	ThermoFinnigan PolarisQ MS.
MS:1000186MS1	proteomics solution 1	MS:1000186	1	Applied Biosystems/MDS SCIEX Proteomics Solution 1 MS.
MS:1000187MS1	Q TRAP	MS:1000187	1	Applied Biosystems/MDS SCIEX Q TRAP MS.
MS:1000188MS1	Q-Tof micro	MS:1000188	1	Waters oa-ToF based Q-Tof micro.
MS:1000189MS1	Q-Tof ultima	MS:1000189	1	Waters oa-ToF based Q-Tof Ultima.
MS:1000190MS1	QSTAR	MS:1000190	1	Applied Biosystems/MDS SCIEX QSTAR MS.
MS:1000191MS1	quattro micro	MS:1000191	1	Waters oa-ToF based micro.
MS:1000192MS1	Quattro UItima	MS:1000192	1	Waters oa-ToF based Ultima.
MS:1000193MS1	Surveyor MSQ	MS:1000193	1	ThermoFinnigan Surveyor MSQ MS.
MS:1000194MS1	SymBiot I	MS:1000194	1	Applied Biosystems/MDS SCIEX SymBiot I MS.
MS:1000195MS1	SymBiot XVI	MS:1000195	1	Applied Biosystems/MDS SCIEX SymBiot XVI MS.
MS:1000196MS1	TEMPUS TOF	MS:1000196	1	ThermoFinnigan TEMPUS TOF MS.
MS:1000197MS1	TRACE DSQ	MS:1000197	1	ThermoFinnigan TRACE DSQ MS.
MS:1000198MS1	TRITON	MS:1000198	1	ThermoFinnigan TRITON MS.
MS:1000199MS1	TSQ Quantum	MS:1000199	1	ThermoFinnigan TSQ Quantum MS.
MS:1000200MS1	ultima	MS:1000200	1	IonSpec Ultima MS.
MS:1000201MS1	ultraflex	MS:1000201	1	Bruker Daltonics' ultraflex: MALDI TOF.
MS:1000202MS1	ultraflex TOF/TOF	MS:1000202	1	Bruker Daltonics' ultraflex TOF/TOF: MALDI TOF.
MS:1000203MS1	Voyager-DE PRO	MS:1000203	1	Applied Biosystems/MDS SCIEX Voyager-DE PRO MS.
MS:1000204MS1	Voyager-DE STR	MS:1000204	1	Applied Biosystems/MDS SCIEX Voyager-DE STR MS.
MS:1000205MS1	selected ion monitoring	MS:1000205	1	The operation of a mass spectrometer in which the intensities of several specific m/z values are recorded rather than the entire mass spectrum.
MS:1000206MS1	selected reaction monitoring	MS:1000206	1	Data acquired from specific product ions corresponding to m/z selected precursor ions recorded via multiple stages of mass spectrometry. Selected reaction monitoring can be performed in time or in space.
MS:1000210MS1	base peak	MS:1000210	1	The peak in a mass spectrum that has the greatest intensity. This term may be applied to the spectra of pure substances or mixtures.
MS:1000216MS1	field-free region	MS:1000216	1	A section of a mass spectrometer in which there are no electric or magnetic fields.
MS:1000221MS1	magnetic deflection	MS:1000221	1	The deflection of charged particles in a magnetic field due to a force equal to qvxB where q is the particle charge, v its velocity and B the magnetic field. Magnetic deflection of an ion beam is used for m/z separation in a magnetic sector mass spectrometer.
MS:1000227MS1	multiphoton ionization	MS:1000227	1	Photoionization of an atom or molecule in which in two or more photons are absorbed.
MS:1000231MS1	peak	MS:1000231	0	A localized region of relatively large ion signal in a mass spectrum. Although peaks are often associated with particular ions, the terms peak and ion should not be used interchangeably.
MS:1000235MS1	total ion current chromatogram	MS:1000235	1	Chromatogram obtained by plotting the total ion current detected in each of a series of mass spectra recorded as a function of retention time.
MS:1000236MS1	transmission	MS:1000236	1	The ratio of the number of ions leaving a region of a mass spectrometer to the number entering that region.
MS:1000239MS1	atmospheric pressure matrix-assisted laser desorption ionization	MS:1000239	1	Matrix-assisted laser desorption ionization in which the sample target is at atmospheric pressure and the ions formed by the pulsed laser are sampled through a small aperture into the mass spectrometer.
MS:1000240MS1	atmospheric pressure ionization	MS:1000240	0	Any ionization process in which ions are formed in the gas phase at atmospheric pressure.
MS:1000242MS1	blackbody infrared radiative dissociation	MS:1000242	1	A special case of infrared multiphoton dissociation wherein excitation of the reactant ion is caused by absorption of infrared photons radiating from heated blackbody surroundings, which are usually the walls of a vacuum chamber. See also infrared multiphoton dissociation.
MS:1000245MS1	charge stripping	MS:1000245	1	The reaction of a positive ion with an atom or molecule that results in the removal of one or more electrons from the ion.
MS:1000246MS1	delayed extraction	MS:1000246	1	The application of the accelerating voltage pulse after a time delay in desorption ionization from a surface. The extraction delay can produce energy focusing in a time-of-flight mass spectrometer.
MS:1000247MS1	desorption ionization	MS:1000247	0	The formation of ions from a solid or liquid material after the rapid vaporization of that sample.
MS:1000248MS1	direct insertion probe	MS:1000248	1	A device for introducing a solid or liquid sample into a mass spectrometer ion source for desorption ionization.
MS:1000249MS1	direct liquid introduction	MS:1000249	1	The delivery of a liquid sample into a mass spectrometer for spray or desorption ionization.
MS:1000250MS1	electron capture dissociation	MS:1000250	1	A process in which a multiply protonated molecules interacts with a low energy electrons. Capture of the electron leads the liberation of energy and a reduction in charge state of the ion with the production of the (M + nH) (n-1)+ odd electron ion, which readily fragments.
MS:1000253MS1	electron multiplier	MS:1000253	0	A device to amplify the current of a beam or packet of charged particles or photons by incidence upon the surface of an electrode to produce secondary electrons. The secondary electrons are then accelerated to other electrodes or parts of a continuous electrode to produce further secondary electrons.
MS:1000254MS1	electrostatic energy analyzer	MS:1000254	1	A device consisting of conducting parallel plates, concentric cylinders or concentric spheres that separates charged particles according to their kinetic energy by means of an electric field that is constant in time.
MS:1000255MS1	flowing afterglow	MS:1000255	1	An ion source immersed in a flow of helium or other inert buffer gas that carries the ions through a meter-long reactor at pressures around 100 Pa.
MS:1000257MS1	field desorption	MS:1000257	1	The formation of gas-phase ions from a material deposited on a solid surface in the presence of a high electric field. Because this process may encompass ionization by field ionization or other mechanisms, it is not recommended as a synonym for field desorption ionization.
MS:1000258MS1	field ionization	MS:1000258	1	The removal of electrons from any species by interaction with a high electric field.
MS:1000259MS1	glow discharge ionization	MS:1000259	1	The formation of ions in the gas phase and from solid samples at the cathode by application of a voltage to a low pressure gas.
MS:1000262MS1	infrared multiphoton dissociation	MS:1000262	1	Multiphoton ionization where the reactant ion dissociates as a result of the absorption of multiple infrared photons.
MS:1000264MS1	ion trap	MS:1000264	0	A device for spatially confining ions using electric and magnetic fields alone or in combination.
MS:1000271MS1	Negative Ion chemical ionization	MS:1000271	1	Chemical ionization that results in the formation of negative ions.
MS:1000272MS1	neutralization reionization mass spectrometry	MS:1000272	1	With this technique, m/z selected ions form neutrals by charge transfer to a collision gas or by dissociation. The neutrals are separated from the remaining ions and ionized in collisions with a second gas. This method is used to investigate reaction intermediates and other unstable species.
MS:1000273MS1	photoionization	MS:1000273	1	The ionization of an atom or molecule by a photon, written M + h? ? M^+ + e. The term photon impact is not recommended.
MS:1000274MS1	pyrolysis mass spectrometry	MS:1000274	1	A mass spectrometry technique in which the sample is heated to the point of decomposition and the gaseous decomposition products are introduced into the ion source.
MS:1000275MS1	collision quadrupole	MS:1000275	1	A transmission quadrupole to which an oscillating potential is applied so as to focus a beam of ions through a collision gas with no m/z separation.
MS:1000276MS1	resonance enhanced multiphoton ionization	MS:1000276	1	Multiphoton ionization in which the ionization cross section is significantly enhanced because the energy of the incident photons is resonant with an intermediate excited state of the neutral species.
MS:1000278MS1	surface enhanced laser desorption ionization	MS:1000278	1	The formation of ionized species in the gas phase from analytes deposited on a particular surface substrate which is irradiated with a laser beam of which wavelength is absorbed by the surface. See also desorption/ionization on silicon and laser desorption/ionization.
MS:1000279MS1	surface enhanced neat desorption	MS:1000279	1	Matrix-assisted laser desorption ionization in which the matrix is covalently linked to the target surface.
MS:1000281MS1	selected ion flow tube	MS:1000281	1	A device in which m/z selected ions are entrained in an inert carrier gas and undergo ion-molecule reactions.
MS:1000282MS1	sustained off-resonance irradiation	MS:1000282	1	A technique associated with Fourier transform ion cyclotron resonance (FT-ICR) mass spectrometry to carry out ion/neutral reactions such as low-energy collision-induced dissociation. A radio-frequency electric field of slightly off-resonance to the cyclotron frequency of the reactant ion cyclically accelerates and decelerates the reactant ion that is confined in the Penning ion trap. The ion's orbit does not exceed the dimensions of ion trap while the ion undergoes an ion/neutral species process that produces a high average translational energy for an extended time.
MS:1000284MS1	stored waveform inverse fourier transform	MS:1000284	1	A technique to create excitation waveforms for ions in FT-ICR mass spectrometer or Paul ion trap. An excitation waveform in the time-domain is generated by taking the inverse Fourier transform of an appropriate frequency-domain programmed excitation spectrum, in which the resonance frequencies of ions to be excited are included. This technique may be used for selection of precursor ions in MS2 experiments.
MS:1000285MS1	total ion current	MS:1000285	1	The sum of all the separate ion currents carried by the ions of different m/z contributing to a complete mass spectrum or in a specified m/z range of a mass spectrum.
MS:1000286MS1	time lag focusing	MS:1000286	1	Energy focusing in a time-of-flight mass spectrometer that is accomplished by introducing a time delay between the formation of the ions and the application of the accelerating voltage pulse.
MS:1000288MS1	cyclotron	MS:1000288	1	A device that uses an oscillating electric field and magnetic field to accelerate charged particles.
MS:1000291MS1	linear ion trap	MS:1000291	0	A two dimensional Paul ion trap in which ions are confined in the axial dimension by means of an electric field at the ends of the trap.
MS:1000294MS1	mass spectrum	MS:1000294	0	A plot of the relative abundance of a beam or other collection of ions as a function of the mass-to-charge ratio (m/z).
